clinical_set_index,validation_pair_id,evidence_subset,evidence_review_status,condition_group,disease_local_id,disease_label,disease_cui,disease_mesh_id,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_intermediaries,gene_symbols,gene_entrez_ids,candidate_indices,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_positive_seeds,ms_drug_disease_edge_present,has_exact_raw_drug_disease_bridge,hierarchy_specificity_flag,condition_match_kind,n_phase2_3_trials,phase2_3_phases,nct_ids,source_urls,example_trial_title,evidence_notes,source_table
0,0b6e90823e26241bd2b2,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1018,1712,DB01708,Dehydroepiandrosterone,ESR2|2100|pool:6436,ESR2,2100,6436,1,17.29402192531689,16.184909215484755,21.019077595066804,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT00001487,https://clinicaltrials.gov/study/NCT00001487,Treatment of Mid-Life-Related Mood Disorders,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
1,ddf75a3c8844282064ac,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,159,853,DB00391,SULPIRIDE,DRD2|1813|pool:18047; DRD3|1814|pool:17623,DRD2; DRD3,1813; 1814,18047;17623,2,5.328237410071942,2.689277149708804,8.303892600205549,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
2,7ccbfeae030b9887bc1e,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,814,1508,DB06144,Sertindole,DRD2|1813|pool:18908; HTR2A|3356|pool:23340; HTR2C|3358|pool:5280; ADRA1A|148|pool:44643,DRD2; HTR2A; HTR2C; ADRA1A,1813; 3356; 3358; 148,18908;23340;5280;44643,4,4.591683795820487,3.0800359712230216,8.8707605344296,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
3,d2373fcd04bb239946b6,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1263,1957,DB00679,Thioridazine,DRD2|1813|pool:19396; HTR2A|3356|pool:23692; ADRA1A|148|pool:44722,DRD2; HTR2A; ADRA1A,1813; 3356; 148,19396;23692;44722,3,5.967368961973278,4.299952894826996,10.392043508050705,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
4,8f8fdd245fd932ed21a7,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,115,809,DB00321,amitriptyline,CHRM3|1131|pool:21205; HTR2A|3356|pool:22662; HTR1A|3350|pool:29355; ADRA1A|148|pool:44423; SLC6A4|6532|pool:30148; HTR2C|3358|pool:5014; SLC6A2|6530|pool:38802; HTR1B|3351|pool:9911,CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; HTR2C; SLC6A2; HTR1B,1131; 3356; 3350; 148; 6532; 3358; 6530; 3351,21205;22662;29355;44423;30148;5014;38802;9911,8,6.062649880095924,4.647888831791709,13.3318345323741,10,False,False,True,broader_narrower_depressive_spectrum,4,PHASE2;PHASE3,NCT00351910;NCT01049347;NCT02014363;NCT02374567,https://clinicaltrials.gov/study/NCT00351910;https://clinicaltrials.gov/study/NCT01049347;https://clinicaltrials.gov/study/NCT02014363;https://clinicaltrials.gov/study/NCT02374567,Efficacy of Seroquel SR in Combination With an Antidepressant in Treatment of Major Depressive Disorder,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
5,83e9bec649a64111a392,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,152,846,DB00381,amlodipine,CACNA1C|775|pool:748,CACNA1C,775,748,1,17.33791538198013,14.86810551558753,19.987046077423777,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT01557153,https://clinicaltrials.gov/study/NCT01557153,Vascular Augmentation of Late-life Unremitted Depression (VALUeD),Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
6,75591bacc1ced0262beb,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,686,1380,DB01238,aripiprazole,DRD2|1813|pool:18729; HTR2A|3356|pool:23201; CHRM3|1131|pool:21681; HTR1A|3350|pool:29613; ADRA1A|148|pool:44611; DRD3|1814|pool:17759; HTR2C|3358|pool:5246; DRD4|1815|pool:19600; HTR3A|3359|pool:43237,DRD2; HTR2A; CHRM3; HTR1A; ADRA1A; DRD3; HTR2C; DRD4; HTR3A,1813; 3356; 1131; 3350; 148; 1814; 3358; 1815; 3359,18729;23201;21681;29613;44611;17759;5246;19600;43237,9,4.197713257965057,2.020169578622816,8.48535457348407,10,False,False,True,broader_narrower_depressive_spectrum,10,PHASE1|PHASE2;PHASE3,NCT00276978;NCT00556140;NCT01111539;NCT01111552;NCT01111565;NCT01123707;NCT01386086;NCT01655706;NCT02374567;NCT05814640,https://clinicaltrials.gov/study/NCT00276978;https://clinicaltrials.gov/study/NCT00556140;https://clinicaltrials.gov/study/NCT01111539;https://clinicaltrials.gov/study/NCT01111552;https://clinicaltrials.gov/study/NCT01111565;https://clinicaltrials.gov/study/NCT01123707;https://clinicaltrials.gov/study/NCT01386086;https://clinicaltrials.gov/study/NCT01655706;https://clinicaltrials.gov/study/NCT02374567;https://clinicaltrials.gov/study/NCT05814640,Aripiprazole Augmentation Therapy in Treatment-resistant Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
7,3ebfdadd5b5b8ddb0e8b,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,826,1520,DB06216,asenapine,DRD2|1813|pool:18944; HTR2A|3356|pool:23366; HTR1A|3350|pool:29694; ADRA1A|148|pool:44649; HTR2C|3358|pool:5294; DRD3|1814|pool:17806; HTR1B|3351|pool:10101; DRD4|1815|pool:19628,DRD2; HTR2A; HTR1A; ADRA1A; HTR2C; DRD3; HTR1B; DRD4,1813; 3356; 3350; 148; 3358; 1814; 3351; 1815,18944;23366;29694;44649;5294;17806;10101;19628,8,4.473920863309353,2.709082733812949,8.638446385748544,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE2,NCT01807741,https://clinicaltrials.gov/study/NCT01807741,Asenapine for Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
8,0a218ada09aa42a2e904,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,496,1190,DB00945,aspirin,PTGS2|5743|pool:11697,PTGS2,5743,11697,1,2.3980815347721824,1.815690304898938,3.8401421719767046,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT01429272,https://clinicaltrials.gov/study/NCT01429272,Minocycline and Aspirin in the Treatment of Bipolar Depression,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
9,2086ba372427ed33d277,automatic_phase2_3_registry_match,automatic_not_manually_verified,psychiatric_mood,161,"Depressive Disorder, Major",,D003865,1180,1874,DB12867,benperidol,DRD2|1813|pool:19159,DRD2,1813,19159,1,6.682511133949983,3.9712872559095582,9.380352860568689,10,False,False,True,broader_narrower_depressive_spectrum,1,PHASE3,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,Automatic exact-normalized intervention and mapped-condition Phase II/III registry match; not a manual efficacy assessment.,all_motifs_fda_or_phase2_3.csv
