"motif_id"	"candidate_index"	"disease_local_id"	"disease_name"	"disease_mesh_id"	"drug_local_id"	"drug_name"	"drugbank_id"	"gene_local_id"	"gene_symbol"	"gene_entrez_id"	"evidence_source"	"supporting_trials"
"9"	"18462"	"190"	"Schizophrenia"	"D012559"	"479"	"amantadine"	"DB00915"	"1406"	"DRD2"	"1813"	"strict_phase2_3_disease_directed_title"	"NCT00999505[PHASE3] Amantadine as Adjunctive Therapy to Antipsychotics in Schizophrenia"
"12"	"18083"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"1406"	"DRD2"	"1813"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"15"	"19049"	"190"	"Schizophrenia"	"D012559"	"1061"	"memantine"	"DB01043"	"1406"	"DRD2"	"1813"	"strict_phase2_3_disease_directed_title"	"NCT00097942[PHASE2] Evaluation of the Safety and Efficacy of Memantine as Adjunctive Treatment in Schizophrenia Patients; NCT00148616[PHASE3] Memantine for the Treatment of Cognitive Dysfunction and Negative Symptoms in Patients With Chronic Schizophrenia; NCT02001103[PHASE3] Memantine add-on for Cognitive and Negative Symptoms of Schizophrenia; NCT02234752[PHASE2] Galantamine and Memantine Combination for Cognitive Impairments in Schizophrenia; NCT04857983[PHASE2|PHASE3] Memantine Augmentation of Targeted Cognitive Training in Schizophrenia"
"43"	"22725"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"1559"	"HTR2A"	"3356"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"48"	"42512"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"3639"	"HRH1"	"3269"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"50"	"42149"	"190"	"Schizophrenia"	"D012559"	"93"	"clemastine"	"DB00283"	"3639"	"HRH1"	"3269"	"strict_phase2_3_disease_directed_title"	"NCT06315972[PHASE2] Combining Clemastine and Aerobic Exercise to Treat Cognitive Dysfunction in Schizophrenia by Targeting Myelin Plasticity"
"73"	"44598"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"3855"	"ADRA1A"	"148"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"90"	"29500"	"190"	"Schizophrenia"	"D012559"	"474"	"ondansetron"	"DB00904"	"2205"	"HTR1A"	"3350"	"strict_phase2_3_disease_directed_title"	"NCT00149734[PHASE3] Addition of Ondansetron to Ongoing Antipsychotic Treatment for Schizophrenia; NCT01121042[PHASE3] Double Blind, Placebo-Controlled, Randomised Investigation of Ondansetron in Schizophrenia"
"91"	"10792"	"190"	"Schizophrenia"	"D012559"	"218"	"celecoxib"	"DB00482"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00639483[PHASE2] Efficacy and Safety of Celecoxib as Add-on Therapy to Risperidone Versus Risperidone Alone in Patients With Schizophrenia"
"93"	"29386"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"2205"	"HTR1A"	"3350"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"119"	"33510"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"2538"	"GABRA1"	"2554"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"121"	"32393"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"2440"	"ADRA2A"	"150"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"124"	"41621"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"3415"	"CHRM1"	"1128"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"128"	"41426"	"190"	"Schizophrenia"	"D012559"	"50"	"trospium"	"DB00209"	"3415"	"CHRM1"	"1128"	"strict_phase2_3_disease_directed_title"	"NCT07084831[PHASE3] A Study Evaluating the Efficacy of Xanomeline/Trospium (XT) on Cognitive Impairment After 24 and 52 Weeks of Treatment in Adult Participants With Schizophrenia"
"138"	"5048"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"259"	"HTR2C"	"3358"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"169"	"30410"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"2215"	"SLC6A4"	"6532"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"170"	"30139"	"190"	"Schizophrenia"	"D012559"	"99"	"atomoxetine"	"DB00289"	"2215"	"SLC6A4"	"6532"	"strict_phase2_3_disease_directed_title"	"NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia"
"183"	"42911"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"3668"	"GABRA5"	"2558"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"185"	"30189"	"190"	"Schizophrenia"	"D012559"	"181"	"methylphenidate"	"DB00422"	"2215"	"SLC6A4"	"6532"	"strict_phase2_3_disease_directed_title"	"NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes"
