panel,candidate_index,method,seed,rank_percentile
c,3999,HANAMI,0,61.288112367249056
c,3999,HANAMI,10,18.880609797875984
c,3999,HANAMI,20,33.189876670092495
c,3999,HANAMI,30,50.997773210003423
c,3999,HANAMI,40,68.441675231243579
c,3999,HANAMI,50,37.052500856457691
c,3999,HANAMI,60,25.062093182596779
c,3999,HANAMI,70,18.240407673860911
c,3999,HANAMI,80,43.642942788626243
c,3999,HANAMI,90,53.340184994861254
c,3999,N2V-MLP,0,80.851747173689617
c,3999,N2V-MLP,10,90.054385063377865
c,3999,N2V-MLP,20,55.016700924974309
c,3999,N2V-MLP,30,82.110739979445015
c,3999,N2V-MLP,40,97.342840013703324
c,3999,N2V-MLP,50,86.369475847893113
c,3999,N2V-MLP,60,74.445443645083927
c,3999,N2V-MLP,70,77.325282631038021
c,3999,N2V-MLP,80,60.134035628639943
c,3999,N2V-MLP,90,47.935936964713946
c,3999,RF,0,78.240621788283661
c,3999,RF,10,77.679642000685163
c,3999,RF,20,71.576310380267216
c,3999,RF,30,70.975719424460436
c,3999,RF,40,99.852261048304214
c,3999,RF,50,61.848021582733814
c,3999,RF,60,84.633007879410755
c,3999,RF,70,88.169107571085988
c,3999,RF,80,82.334489551216166
c,3999,RF,90,78.848706748886599
c,3999,TriMoGCL,0,55.64833847207948
c,3999,TriMoGCL,10,42.565947242206235
c,3999,TriMoGCL,20,39.591897910243233
c,3999,TriMoGCL,30,48.925145597807472
c,3999,TriMoGCL,40,91.131380609797873
c,3999,TriMoGCL,50,47.073055841041452
c,3999,TriMoGCL,60,50.6723192874272
c,3999,TriMoGCL,70,60.949811579307983
c,3999,TriMoGCL,80,52.749229188078111
c,3999,TriMoGCL,90,54.397910243233987
c,3999,TriNet,0,86.148937992463175
c,3999,TriNet,10,96.11810551558753
c,3999,TriNet,20,70.824768756423438
c,3999,TriNet,30,79.160243233984247
c,3999,TriNet,40,97.875984926344643
c,3999,TriNet,50,83.994946899623159
c,3999,TriNet,60,95.244518670777666
c,3999,TriNet,70,52.884121274409047
c,3999,TriNet,80,66.296248715313467
c,3999,TriNet,90,63.876755738266532
d,14585,HANAMI,0,10.722850291195615
d,14585,HANAMI,10,81.157930798218572
d,14585,HANAMI,20,63.307211373758136
d,14585,HANAMI,30,40.401250428228849
d,14585,HANAMI,40,45.597807468311068
d,14585,HANAMI,50,4.8903734155532721
d,14585,HANAMI,60,3.7705549845837614
d,14585,HANAMI,70,1.4988009592326139
d,14585,HANAMI,80,48.094381637547109
d,14585,HANAMI,90,1.5801644398766701
d,14585,N2V-MLP,0,16.707348406988693
d,14585,N2V-MLP,10,99.098578280232957
d,14585,N2V-MLP,20,72.094467283316206
d,14585,N2V-MLP,30,42.687992463172321
d,14585,N2V-MLP,40,71.171634121274408
d,14585,N2V-MLP,50,59.553785542994177
d,14585,N2V-MLP,60,33.949982870846178
d,14585,N2V-MLP,70,25.57596779719082
d,14585,N2V-MLP,80,27.333847207947926
d,14585,N2V-MLP,90,51.323227132579653
d,14585,RF,0,43.036998972250771
d,14585,RF,10,99.714157245632066
d,14585,RF,20,56.875214114422747
d,14585,RF,30,36.263489208633096
d,14585,RF,40,45.230601233299076
d,14585,RF,50,69.138617677286746
d,14585,RF,60,49.56534772182254
d,14585,RF,70,8.7508564576909897
d,14585,RF,80,36.40694587187393
d,14585,RF,90,34.322541966426861
d,14585,TriMoGCL,0,60.009849263446384
d,14585,TriMoGCL,10,99.738780404248033
d,14585,TriMoGCL,20,64.821000342583076
d,14585,TriMoGCL,30,48.586844809866392
d,14585,TriMoGCL,40,63.726875642343266
d,14585,TriMoGCL,50,47.488437821171637
d,14585,TriMoGCL,60,57.532545392257624
d,14585,TriMoGCL,70,33.528177458033575
d,14585,TriMoGCL,80,39.838129496402878
d,14585,TriMoGCL,90,27.008393285371703
d,14585,TriNet,0,35.735697156560462
d,14585,TriNet,10,83.151336073997939
d,14585,TriNet,20,80.806783144912643
d,14585,TriNet,30,45.668465227817748
d,14585,TriNet,40,57.130010277492289
d,14585,TriNet,50,55.547704693388148
d,14585,TriNet,60,40.02226789996574
d,14585,TriNet,70,30.607656731757451
d,14585,TriNet,80,75.483898595409386
d,14585,TriNet,90,59.635149023638235
e,40511,HANAMI,0,30.800359712230215
e,40511,HANAMI,10,52.216084275436792
e,40511,HANAMI,20,33.958547447756082
e,40511,HANAMI,30,12.063206577595066
e,40511,HANAMI,40,16.902192531688936
e,40511,HANAMI,50,19.09900650907845
e,40511,HANAMI,60,17.03280232956492
e,40511,HANAMI,70,19.525094210346008
e,40511,HANAMI,80,38.480644056183621
e,40511,HANAMI,90,11.838386433710175
e,40511,N2V-MLP,0,49.783744433025007
e,40511,N2V-MLP,10,77.633607399794457
e,40511,N2V-MLP,20,69.223192874272016
e,40511,N2V-MLP,30,56.297105173004454
e,40511,N2V-MLP,40,25.334018499486124
e,40511,N2V-MLP,50,27.804898937992462
e,40511,N2V-MLP,60,51.282545392257624
e,40511,N2V-MLP,70,16.133521754025352
e,40511,N2V-MLP,80,40.865878725590953
e,40511,N2V-MLP,90,30.331449126413155
e,40511,RF,0,58.021796848235695
e,40511,RF,10,51.26113394998287
e,40511,RF,20,30.512375813634808
e,40511,RF,30,46.199468996231587
e,40511,RF,40,30.215827338129497
e,40511,RF,50,29.104573484069888
e,40511,RF,60,66.992120589242887
e,40511,RF,70,3.4900650907845154
e,40511,RF,80,50.92604487838301
e,40511,RF,90,22.277535114765332
e,40511,TriMoGCL,0,74.220623501199043
e,40511,TriMoGCL,10,75.175573826652965
e,40511,TriMoGCL,20,66.568174032202805
e,40511,TriMoGCL,30,37.949640287769782
e,40511,TriMoGCL,40,32.151421719767043
e,40511,TriMoGCL,50,52.132579650565262
e,40511,TriMoGCL,60,47.976618705035975
e,40511,TriMoGCL,70,39.917351832819456
e,40511,TriMoGCL,80,21.640544707091468
e,40511,TriMoGCL,90,32.663155190133608
e,40511,TriNet,0,43.418122644741352
e,40511,TriNet,10,74.079307982185682
e,40511,TriNet,20,46.584874957177114
e,40511,TriNet,30,67.242634463857485
e,40511,TriNet,40,54.823997944501542
e,40511,TriNet,50,4.6527064063035288
e,40511,TriNet,60,54.620589242891398
e,40511,TriNet,70,47.214371360054812
e,40511,TriNet,80,46.505652620760536
e,40511,TriNet,90,31.39559780746831
f,6118,HANAMI,0,30.59052757793765
f,6118,HANAMI,10,42.002826310380264
f,6118,HANAMI,20,62.320143884892083
f,6118,HANAMI,30,24.642428914011649
f,6118,HANAMI,40,10.707862281603289
f,6118,HANAMI,50,33.821514217197674
f,6118,HANAMI,60,9.2304727646454268
f,6118,HANAMI,70,30.532716683795819
f,6118,HANAMI,80,55.025265501884206
f,6118,HANAMI,90,40.482613908872899
f,6118,N2V-MLP,0,30.723278520041109
f,6118,N2V-MLP,10,79.9053614251456
f,6118,N2V-MLP,20,86.769869818430976
f,6118,N2V-MLP,30,23.931569030489893
f,6118,N2V-MLP,40,62.118876327509419
f,6118,N2V-MLP,50,64.373501199040774
f,6118,N2V-MLP,60,89.576909900650904
f,6118,N2V-MLP,70,45.045392257622474
f,6118,N2V-MLP,80,59.102004110996916
f,6118,N2V-MLP,90,32.262761219595752
f,6118,RF,0,16.741606714628297
f,6118,RF,10,60.796719767043506
f,6118,RF,20,71.576310380267216
f,6118,RF,30,36.263489208633096
f,6118,RF,40,30.215827338129497
f,6118,RF,50,14.376712915381979
f,6118,RF,60,56.645041109969171
f,6118,RF,70,32.573227132579653
f,6118,RF,80,79.081020897567655
f,6118,RF,90,72.606200753682771
f,6118,TriMoGCL,0,57.51113394998287
f,6118,TriMoGCL,10,53.290938677629327
f,6118,TriMoGCL,20,75.310465912983901
f,6118,TriMoGCL,30,44.535799931483382
f,6118,TriMoGCL,40,15.009421034600891
f,6118,TriMoGCL,50,56.17934224049332
f,6118,TriMoGCL,60,50.51815690304899
f,6118,TriMoGCL,70,46.53776978417266
f,6118,TriMoGCL,80,64.486981843096956
f,6118,TriMoGCL,90,33.767985611510788
f,6118,TriNet,0,3.8754710517300444
f,6118,TriNet,10,68.531603288797527
f,6118,TriNet,20,32.94578622816033
f,6118,TriNet,30,8.534600890715998
f,6118,TriNet,40,92.846437136005477
f,6118,TriNet,50,81.172918807810888
f,6118,TriNet,60,72.021668379582053
f,6118,TriNet,70,55.963086673518326
f,6118,TriNet,80,43.974820143884891
f,6118,TriNet,90,63.968824940047959
g,35674,HANAMI,0,4.9824426173347041
g,35674,HANAMI,10,4.746916752312436
g,35674,HANAMI,20,0.89928057553956831
g,35674,HANAMI,30,1.5159301130524152
g,35674,HANAMI,40,16.317660157588215
g,35674,HANAMI,50,12.277321000342583
g,35674,HANAMI,60,7.6032031517643031
g,35674,HANAMI,70,8.7080335731414866
g,35674,HANAMI,80,4.8561151079136691
g,35674,HANAMI,90,22.546248715313464
g,35674,N2V-MLP,0,40.394826995546417
g,35674,N2V-MLP,10,50.663754710517303
g,35674,N2V-MLP,20,32.601062007536825
g,35674,N2V-MLP,30,17.67942788626242
g,35674,N2V-MLP,40,27.929085303186021
g,35674,N2V-MLP,50,6.3977389516957865
g,35674,N2V-MLP,60,39.4484412470024
g,35674,N2V-MLP,70,35.74640287769784
g,35674,N2V-MLP,80,47.370674888660503
g,35674,N2V-MLP,90,21.809695101062008
g,35674,RF,0,21.840741692360396
g,35674,RF,10,23.166109969167522
g,35674,RF,20,77.863780404248033
g,35674,RF,30,4.0585388831791711
g,35674,RF,40,13.044921205892429
g,35674,RF,50,52.173261390887291
g,35674,RF,60,23.964756766015761
g,35674,RF,70,89.565133607399801
g,35674,RF,80,21.14058752997602
g,35674,RF,90,46.239080164439876
g,35674,TriMoGCL,0,18.165467625899282
g,35674,TriMoGCL,10,8.9970880438506331
g,35674,TriMoGCL,20,2.171120246659815
g,35674,TriMoGCL,30,9.3546591298389856
g,35674,TriMoGCL,40,28.69133264816718
