disorder_type,disease_label,disease_mesh,drug_name,drugbank_id,gene_symbols,gene_entrez_ids,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_seeds_max_of_10,high_priority_top10,has_exact_raw_drug_disease_bridge,hierarchy_flag,n_phase2_3_trials,phase2_3_phases,condition_match_kind,phase2_3_nct_ids,example_trial_title,fda_status,validation_pair_id
psychiatric_mood,"Depressive Disorder, Major",D003865,aspirin,DB00945,PTGS2,5743,1,2.398,1.816,3.84,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT01429272,Minocycline and Aspirin in the Treatment of Bipolar Depression,not_screened_here,0a218ada09aa42a2e904
psychiatric_mood,Bipolar Disorder,D001714,clozapine,DB00363,DRD2; HTR2A; CHRM2; ADRA1A; HTR1A; DRD1; HTR2C; DRD3; ADRA2C; HTR1B; DRD4; 1816; HTR3A,1813; 3356; 1129; 148; 3350; 1812; 3358; 1814; 152; 3351; 1815; 1816; 3359,13,3.022,1.93,5.321,10,True,True,False,3,PHASE2;PHASE3,exact_or_named_subtype,NCT00029458;NCT00036582;NCT05603104,Clozapine for Treatment-Resistant Mania,not_screened_here,78fdf0597902a3ff069f
psychiatric_mood,"Depressive Disorder, Major",D003865,lamotrigine,DB00555,DRD2; HTR2A; ADRA1A,1813; 3356; 148,3,3.126,1.468,7.485,10,True,False,True,5,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00224510;NCT00475137;NCT00652171;NCT01042496;NCT02374567,A Study To Investigate The Antidepressant Effect Of Lamotrigine In Patients With Bipolar Disorder Using Lithium,not_screened_here,09a61f9c1cfe10648733
psychiatric_mood,Bipolar Disorder,D001714,haloperidol,DB00502,DRD2; HTR2A; HTR1A; DRD1; DRD3; DRD4; 1816; GRIN2B,1813; 3356; 3350; 1812; 1814; 1815; 1816; 2904,8,3.166,1.457,5.838,10,True,True,False,2,PHASE3,exact_or_named_subtype,NCT00097266;NCT00129220,Study of Aripiprazole in Patients With Acute Bipolar Mania,not_screened_here,5aec404770c8a6612971
psychiatric_mood,Bipolar Disorder,D001714,pramipexole,DB00413,DRD2; HTR2A; HTR1A; DRD1; HTR2C; DRD3; ADRA2C; HTR1B; DRD4; 1816,1813; 3356; 3350; 1812; 3358; 1814; 152; 3351; 1815; 1816,10,3.202,1.713,6.819,10,True,True,False,2,PHASE2;PHASE3,exact_or_named_subtype,NCT00025792;NCT07664852,Clinical Trial of Pramipexole in Bipolar Depression,not_screened_here,e557219bc73545599555
psychiatric_mood,"Depressive Disorder, Major",D003865,imipramine,DB00458,DRD2; CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; SLC6A2; HTR2C,1813; 1131; 3356; 3350; 148; 6532; 6530; 3358,8,3.429,2.179,7.673,10,True,False,True,2,PHASE1|PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00296725;NCT02374567,Dichotic Listening as a Predictor of Medication Response in Depression,not_screened_here,4a4f55c3bc484557b75f
psychiatric_mood,"Depressive Disorder, Major",D003865,maprotiline,DB00934,DRD2; HTR2A; CHRM3; ADRA1A; HTR2C; SLC6A2,1813; 3356; 1131; 148; 3358; 6530,6,3.432,2.512,7.686,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,3d07ac8eeeabb2c0ccb4
psychiatric_mood,Depressive Disorder,D003866,aspirin,DB00945,PTGS2,5743,1,3.505,1.429,8.226,10,True,True,False,1,PHASE3,broader_narrower_depressive_spectrum,NCT01429272,Minocycline and Aspirin in the Treatment of Bipolar Depression,not_screened_here,99f4bf464ee64bfd216a
psychiatric_mood,"Depressive Disorder, Major",D003865,risperidone,DB00734,DRD2; HTR2A; HTR1A; ADRA1A; DRD3; HTR2C; HTR1B; DRD4,1813; 3356; 3350; 148; 1814; 3358; 3351; 1815,8,3.523,2.222,7.385,10,True,False,True,8,PHASE1|PHASE2;PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00044681;NCT00095134;NCT00174577;NCT00174590;NCT00206765;NCT00640562;NCT01282632;NCT02374567,A Study of the Effectiveness and Safety of Risperidone to Augment SSRI Therapy in Patients With Treatment-resistant Depression,not_screened_here,1723aa8aa9ec8630a280
psychiatric_mood,Bipolar Disorder,D001714,iloperidone,DB04946,DRD2; HTR2A; HTR1A; ADRA1A; DRD1; DRD3; ADRA2C; DRD4,1813; 3356; 3350; 148; 1812; 1814; 152; 1815,8,3.675,2.385,6.73,10,True,True,False,1,PHASE3,exact_or_named_subtype,NCT04819776,Evaluation of Efficacy and Safety of Iloperidone in the Acute Treatment of Manic or Mixed Episodes Associated With Bipolar I Disorder,not_screened_here,23686024ec3696717270
