candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
0,6,6,D001943,Breast Neoplasms,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
1,126,126,D012131,Respiratory Insufficiency,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
2,220,220,D001254,Astrocytoma,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
3,280,280,D000505,Alopecia,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
4,495,495,D005910,Glioma,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
5,642,642,D055371,Acute Lung Injury,1043,1737,DB12010,fostamatinib,2,1968,90,ACVR1,True,True,False,gene_star
6,2,2,D011471,Prostatic Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
7,6,6,D001943,Breast Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
8,8,8,D010051,Ovarian Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
9,29,29,D010190,Pancreatic Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
10,38,38,D002446,Celiac Disease,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
11,46,46,D003093,"Colitis, Ulcerative",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
12,61,61,D003371,Cough,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
13,81,81,D050197,Atherosclerosis,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
14,162,162,D003866,Depressive Disorder,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
15,169,169,D005076,Exanthema,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
16,215,215,D003110,Colonic Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
17,218,218,D008527,Medulloblastoma,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
18,237,237,D011537,Pruritus,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
19,240,240,D004485,Eczema,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
20,248,248,D002294,"Carcinoma, Squamous Cell",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
21,260,260,D002545,Brain Ischemia,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
22,262,262,D005334,Fever,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
23,264,264,D002289,"Carcinoma, Non-Small-Cell Lung",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
24,266,266,D013274,Stomach Neoplasms,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
25,283,283,D015470,"Leukemia, Myeloid, Acute",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
26,349,349,D001327,Autoimmune Diseases,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
27,365,365,D001851,"Bone Diseases, Metabolic",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
28,461,461,D012883,Skin Ulcer,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
29,472,472,D009362,Neoplasm Metastasis,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
30,483,483,D010304,Paronychia,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
31,524,524,D000077195,Squamous Cell Carcinoma of Head and Neck,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
32,588,588,D000230,Adenocarcinoma,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
33,644,644,D003922,"Diabetes Mellitus, Type 1",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
34,645,645,D001171,"Arthritis, Juvenile",205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
35,646,646,D005891,Gingivitis,205,899,DB00459,acitretin,5,1971,6774,STAT3,True,True,False,gene_star
36,2,2,D011471,Prostatic Neoplasms,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
37,6,6,D001943,Breast Neoplasms,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
38,8,8,D010051,Ovarian Neoplasms,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
39,21,21,D011565,Psoriasis,869,1563,DB06803,Niclosamide,5,1971,6774,STAT3,True,True,False,gene_star
