,dise_Name,dise_id,dise_MeSH,dise_MS_no
0,Respiratory Insufficiency,C0035229,D012131,126
1,Colorectal Neoplasms,C0009404,D015179,265
2,"Cardiomyopathy, Dilated",C0007193,D002311,576
3,acute lung injury,C0242488,D055371,642
4,"Skin Diseases, Bacterial",C0162627,D017192,596
5,Myelodysplastic Syndrome,C3463824,D009190,622
6,"Leukemia, Myelocytic, Acute",C0023467,D015470,283
7,Immunologic Deficiency Syndromes,C0021051,D007153,564
8,Osteitis Deformans,C0029401,D010001,241
9,Stevens-Johnson Syndrome,C0038325,D013262,427
10,Pancreatic Neoplasm,C0030297,D010190,29
11,ulcerative colitis,C0009324,D003093,46
12,psoriatic arthritis,C0003872,D015535,352
13,squamous cell carcinoma,C0007137,D002294,248
14,Non-Small Cell Lung Carcinoma,C0007131,D002289,264
15,skin ulcer,C0037299,D012883,461
16,Colonic Neoplasms,C0009375,D003110,215
17,Ovarian Neoplasm,C0919267,D010051,8
18,medulloblastoma,C0025149,D008527,218
19,Osteopenia,C0029453,D001851,365
20,atherosclerosis,C0004153,D050197,81
21,"Diabetes Mellitus, Insulin-Dependent",C0011854,D003922,644
22,Juvenile Arthritis,C3495559,D001171,645
23,Coughing,C0010200,D003371,61
24,Stomach Neoplasms,C0038356,D013274,266
25,celiac disease,C0007570,D002446,38
26,Delayed Puberty,C0034012,D011628,418
27,Myocardial Ischemia,C0151744,D017202,548
28,bipolar disorder,C0005586,D001714,191
29,Anxiety Disorders,C0003469,D001008,647
30,Alzheimer's disease,C0002395,D000544,80
31,Parkinsonian Disorders,C0242422,D020734,121
32,urticaria,C0042109,D056587,678
33,Migraine Disorders,C0149931,D008881,139
34,Febrile Convulsions,C0009952,D003294,555
35,Autistic Disorder,C0004352,D001321,462
36,Cryptorchidism,C0010417,D003456,417
37,Tetralogy of Fallot,C0039685,D013771,474
38,Strabismus,C0038379,D013285,630
39,gastroesophageal reflux disease (GERD),C0017168,D005764,153
40,heartburn,C0018834,D006356,278
41,obstructive sleep apnea,C0520679,D020181,464
42,Keloid,C0022548,D007627,413
43,constipation,C0009806,D003248,435
44,Bladder Neoplasm,C0005695,D001749,298
45,Cardiac Arrhythmia,C0003811,D001145,168
46,"Alcoholic Intoxication, Chronic",C0001973,D000437,442
47,Endometrial Neoplasms,C0014170,D016889,7
48,Small Cell Carcinoma Of Lung,C0149925,D055752,471
49,"Carcinoma, Transitional Cell",C0007138,D002295,650
50,"Obesity, Abdominal",C0311277,D056128,608
51,hyperlipidemia,C0020473,D006954,423
52,Hyperlipoproteinemia Type Iia,C0745103,D006938,518
53,arteriosclerosis,C0003850,D003324,296
54,congestive heart failure,C0018802,D006333,94
55,Hypertensive disease,C0020538,D006973,93
56,hypercholesterolemia,C0020443,D006952,86
57,coronary heart disease,C0010068,D003327,177
58,hypertriglyceridemia,C0020557,D015228,74
59,Behcet Syndrome,C0004943,D001528,530
60,Muscle Spasticity,C0026838,D009128,137
61,hypocalcemia,C0020598,D006996,50
62,Hyperemia,C0020452,D006940,600
63,Ventricular Dysfunction,C0242973,D018754,651
64,Malignant Neoplasm Of Breast,C0006142,D001943,6
65,abdominal pain,C0000737,D015746,652
66,Major Depressive Disorder,C1269683,D003866,162
67,Gastrointestinal Hemorrhage,C0017181,D006471,15
68,Intracranial Hypertension,C0151740,D019586,401
69,Hematologic Neoplasms,C0376545,D019337,572
70,Rectal Neoplasms,C0034885,D012004,382
71,Pain,C0030193,D063806,44
72,tetany,C0039621,D013746,437
73,seborrheic dermatitis,C0036508,D012628,173
74,Polycystic Ovary Syndrome,C0032460,D011085,504
75,tremors,C0040822,D020329,391
76,Optic Neuritis,C0029134,D009902,426
77,Cerebral Palsy,C0007789,D002547,100
78,hyperprolactinemia,C0020514,D006966,192
79,adrenal cortical carcinoma,C0206686,D018268,433
80,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",C0334634,D020522,119
81,Wilm's tumor,C0027708,D009396,381
82,Lung Neoplasms,C0024121,D008175,83
83,central diabetes insipidus,C0687720,D020790,653
84,Sezary Syndrome,C0036920,D012751,654
85,Vitreous Hemorrhage,C0042909,D014823,655
