drug_name,drug_SMILES,DB_id
leuprolide,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,DB00007
goserelin-acetate,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,DB00014
Desmopressin,C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,DB00035
vasopressin,C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N.C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,DB00067
cyclosporine,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,DB00091
octreotide,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,DB00104
cyanocobalamin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],DB00115
Biotin,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,DB00121
Choline,C[N+](C)(C)CCO,DB00122
Vitamin C,C(C(C1C(=C(C(=O)O1)O)O)O)O,DB00126
glutamine-(l),C(CC(=O)N)C(C(=O)O)N,DB00130
Adenosine monophosphate,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,DB00131
L-Serine,C(C(C(=O)O)N)O,DB00133
calcitriol,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,DB00136
Succinic acid,C(CC(=O)O)C(=O)O,DB00139
Glycine,C(C(=O)O)N,DB00145
Calcidiol,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,DB00146
L-Cysteine,C(C(C(=O)O)N)S,DB00151
thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,DB00152
ergocalciferol,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,DB00153
folic-acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,DB00158
icosapent,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,DB00159
retinol,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,DB00162
Vitamin E,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,DB00163
pyridoxine,CC1=NC=C(C(=C1O)CO)CO,DB00165
cholecalciferol,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,DB00169
pravastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,DB00175
fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,DB00176
valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,DB00177
ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,DB00178
masoprocol,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,DB00179
flunisolide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,DB00180
baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,DB00181
Amphetamine,CC(CC1=CC=CC=C1)N,DB00182
lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,DB00186
esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,DB00187
bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,DB00188
Ethchlorvynol,CCC(C=CCl)(C#C)O,DB00189
carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,DB00190
phentermine,CC(C)(CC1=CC=CC=C1)N,DB00191
tramadol,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,DB00193
betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,DB00195
fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,DB00196
erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,DB00199
Hydroxocobalamin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3],DB00200
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,DB00201
sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,DB00203
reserpine,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,DB00206
azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,DB00207
ticlopidine,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,DB00208
trospium,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,DB00209
adapalene,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,DB00210
midodrine,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,DB00211
pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,DB00213
torasemide,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,DB00214
citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,DB00215
eletriptan,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,DB00216
moxifloxacin,COc1c2c(cc(c1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,DB00218
glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,DB00222
DIFLORASONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,DB00223
guanadrel,C1CCC2(CC1)OCC(O2)CN=C(N)N,DB00226
lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,DB00227
pregabalin,CC(C)CC(CC(=O)O)CN,DB00230
Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,DB00231
methyclothiazide,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,DB00232
aminosalicylate,C1=CC(=C(C=C1N)O)C(=O)O,DB00233
milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,DB00235
butabarbital,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,DB00237
ALCLOMETASONE,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,DB00240
butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,DB00241
cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,DB00242
ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,DB00243
mesalazine,C1=CC(=C(C=C1N)C(=O)O)O,DB00244
Benzatropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,DB00245
ziprasidone,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,DB00246
cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,DB00248
dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,DB00250
phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,DB00252
medrysone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,DB00253
doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,DB00254
anagrelide,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3,DB00261
carmustine,C(CCl)NC(=O)N(CCCl)N=O,DB00262
metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,DB00264
dicoumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,DB00266
ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,DB00268
isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,DB00270
topiramate,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,DB00273
olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,DB00275
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,DB00277
liothyronine,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,DB00279
disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,DB00280
lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,DB00281
pamidronate,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,DB00282
clemastine,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,DB00283
acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,DB00284
venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,DB00285
Conjugated Estrogens,CC12CCC3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)O)C1CCC2=O,DB00286
travoprost,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O,DB00287
amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,DB00288
atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,DB00289
bleomycin,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,DB00290
Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,DB00295
bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,DB00297
tenofovir-disoproxil,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,DB00300
Tranexamic Acid,C1CC(CCC1CN)C(=O)O,DB00302
bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,DB00307
vindesine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O,DB00309
chlorthalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,DB00310
Pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,DB00312
Valproic Acid,CCCC(CCC)C(=O)O,DB00313
zolmitriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,DB00315
paracetamol,CC(=O)NC1=CC=C(C=C1)O,DB00316
gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,DB00317
Codeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,DB00318
