panel,case_label,validation_pair_id,candidate_index,method,median_rank_percentile,q1_rank_percentile,q3_rank_percentile
b,Propranolol-ADRB2-Prostatic Neoplasms,,26436,HANAMI,2.7267471736896196,1.7059566632408358,7.393371017471736
b,Propranolol-ADRB2-Prostatic Neoplasms,,26436,TriMoGCL,5.008136348064406,2.5506380609797876,18.241478245974648
b,Propranolol-ADRB2-Prostatic Neoplasms,,26436,TriNet,65.539354230901,49.41546762589928,72.82673860911271
b,Propranolol-ADRB2-Prostatic Neoplasms,,26436,N2V-MLP,27.202166837958202,10.387225933538883,50.29761904761905
b,Propranolol-ADRB2-Prostatic Neoplasms,,26436,RF,53.203151764302845,36.865418379582046,69.93753211716341
c,Aspirin-PTGS2-Colorectal Neoplasms,,11709,HANAMI,7.981115107913669,4.570272353545735,16.64257879410757
c,Aspirin-PTGS2-Colorectal Neoplasms,,11709,TriMoGCL,12.66379753340185,8.824190647482014,28.249186365193562
c,Aspirin-PTGS2-Colorectal Neoplasms,,11709,TriNet,46.86108256252141,32.328601404590614,60.564940904419316
c,Aspirin-PTGS2-Colorectal Neoplasms,,11709,N2V-MLP,25.908915724563208,15.328451524494689,47.82887975334018
c,Aspirin-PTGS2-Colorectal Neoplasms,,11709,RF,13.045991778006167,7.642546676944159,24.370235954093868
d,Chloroquine-TNF-Breast Neoplasms,,13725,HANAMI,5.283273381294964,0.9115921548475505,24.48666067146283
d,Chloroquine-TNF-Breast Neoplasms,,13725,TriMoGCL,17.159129838985955,11.724905789653992,22.867955635491608
d,Chloroquine-TNF-Breast Neoplasms,,13725,TriNet,62.53318773552587,37.73017300445358,79.37114594039053
d,Chloroquine-TNF-Breast Neoplasms,,13725,N2V-MLP,19.695315176430285,11.62320143884892,33.00787941075711
d,Chloroquine-TNF-Breast Neoplasms,,13725,RF,52.96976704350805,39.10077295306612,73.37406860226105
e,Pentoxifylline-TNF-Parkinson Disease,,13889,HANAMI,4.440733127783488,1.5721351490236382,22.752869133264817
e,Pentoxifylline-TNF-Parkinson Disease,,13889,TriMoGCL,11.582519698526893,4.658594552929085,14.627762076053443
e,Pentoxifylline-TNF-Parkinson Disease,,13889,TriNet,32.80447070914697,20.07001541623844,62.817959917780065
e,Pentoxifylline-TNF-Parkinson Disease,,13889,N2V-MLP,18.7414354230901,5.462594210346009,21.151293251113394
e,Pentoxifylline-TNF-Parkinson Disease,,13889,RF,14.59403905447071,10.518638660500173,33.55681526207605
f,Celecoxib-PTGS2-Depressive Disorder,,10788,HANAMI,5.592668722165126,3.745931825967797,19.35112624186365
f,Celecoxib-PTGS2-Depressive Disorder,,10788,TriMoGCL,11.855515587529975,6.830785371702638,29.3684695101062
f,Celecoxib-PTGS2-Depressive Disorder,,10788,TriNet,27.13793251113395,15.074725933538883,41.61581449126413
f,Celecoxib-PTGS2-Depressive Disorder,,10788,N2V-MLP,15.91726618705036,10.723385577252484,24.954500685166153
f,Celecoxib-PTGS2-Depressive Disorder,,10788,RF,12.44325967797191,7.516486810551559,24.695154590613225
g,Mifepristone-NR3C1-Bipolar Disorder,,2966,HANAMI,9.429599177800617,5.267750085645769,17.436943302500858
g,Mifepristone-NR3C1-Bipolar Disorder,,2966,TriMoGCL,21.488523466940734,14.999250599520384,62.76121959575197
g,Mifepristone-NR3C1-Bipolar Disorder,,2966,TriNet,37.492505995203835,13.559866392600206,44.02567231928743
g,Mifepristone-NR3C1-Bipolar Disorder,,2966,N2V-MLP,14.141187050359711,5.005459917780062,25.532609626584446
g,Mifepristone-NR3C1-Bipolar Disorder,,2966,RF,55.3667780061665,45.129967454607744,62.31719981157931
h,Dexamethasone-NR3C2-Heart Failure,,44963,HANAMI,6.518713600548133,5.167651593011305,18.557832305584103
h,Dexamethasone-NR3C2-Heart Failure,,44963,TriMoGCL,23.45088215142172,12.834553785542994,36.54879667694416
h,Dexamethasone-NR3C2-Heart Failure,,44963,TriNet,40.20854744775608,25.505845323741006,47.57622473449812
h,Dexamethasone-NR3C2-Heart Failure,,44963,N2V-MLP,21.409301130524153,5.086288112367249,25.33187735525865
h,Dexamethasone-NR3C2-Heart Failure,,44963,RF,40.94135405960945,23.976800702295307,47.99214200068516
