"panel","panel_type","panel_title","method","value","bar_order","comparison_method","reference_method","p_value","significance","error_lower","error_upper","error_se","error_type","error_sd","error_n"
"a","best_share","Complete clinical cohort","RF",20.4907975460123,1,"HANAMI","TriMoGCL",0.0151253264000526,"*",18.1138101571724,22.8677849348521,1.2108986876468,"95% pair-clustered CR1 confidence interval",NA,785
"a","best_share","Complete clinical cohort","TriNet",8.89570552147239,2,"HANAMI","TriMoGCL",0.0151253264000526,"*",7.39278334079546,10.3986277021493,0.765627325059229,"95% pair-clustered CR1 confidence interval",NA,785
"a","best_share","Complete clinical cohort","N2V-MLP",13.1901840490798,3,"HANAMI","TriMoGCL",0.0151253264000526,"*",10.9716206300623,15.4087474680972,1.13019343104745,"95% pair-clustered CR1 confidence interval",NA,785
"a","best_share","Complete clinical cohort","TriMoGCL",25.2760736196319,4,"HANAMI","TriMoGCL",0.0151253264000526,"*",21.8395841888236,28.7125630504402,1.75063635651382,"95% pair-clustered CR1 confidence interval",NA,785
"a","best_share","Complete clinical cohort","HANAMI",32.1472392638037,5,"HANAMI","TriMoGCL",0.0151253264000526,"*",28.5545480924514,35.739930435156,1.83020955219879,"95% pair-clustered CR1 confidence interval",NA,785
"b","aggregate","Complete clinical cohort","RF",43.2080119646611,1,"HANAMI","TriMoGCL",0.0199482574390034,"*",41.6481163574349,44.7679075718873,0.794651058110204,"95% pair-clustered CR1 confidence interval",NA,785
"b","aggregate","Complete clinical cohort","TriNet",44.9114317003886,2,"HANAMI","TriMoGCL",0.0199482574390034,"*",43.4528637974566,46.3699996033207,0.743032111906262,"95% pair-clustered CR1 confidence interval",NA,785
"b","aggregate","Complete clinical cohort","N2V-MLP",39.0275290065927,3,"HANAMI","TriMoGCL",0.0199482574390034,"*",37.4197569207578,40.6353010924276,0.819040571234518,"95% pair-clustered CR1 confidence interval",NA,785
"b","aggregate","Complete clinical cohort","TriMoGCL",36.577397109483,4,"HANAMI","TriMoGCL",0.0199482574390034,"*",34.8415723571992,38.3132218617668,0.884273902501111,"95% pair-clustered CR1 confidence interval",NA,785
"b","aggregate","Complete clinical cohort","HANAMI",35.6925691261184,5,"HANAMI","TriMoGCL",0.0199482574390034,"*",33.8613399673703,37.5237982848665,0.932875368005608,"95% pair-clustered CR1 confidence interval",NA,785
"c","case_study","Lenvatinib-FLT1-Melanoma","RF",79.4157887975,1,"TriMoGCL","HANAMI",0.0101861403208684,"*",69.0018898602371,89.8296877348297,NA,"Sample SD across ten seeds",10.4138989372963,10
"c","case_study","Lenvatinib-FLT1-Melanoma","TriNet",79.2424631723,2,"TriMoGCL","HANAMI",0.0101861403208684,"*",63.8668595730692,94.6180667715693,NA,"Sample SD across ten seeds",15.3756035992501,10
"c","case_study","Lenvatinib-FLT1-Melanoma","N2V-MLP",75.1586587873,3,"TriMoGCL","HANAMI",0.0101861403208684,"*",59.1789391708938,91.138378403618,NA,"Sample SD across ten seeds",15.9797196163621,10
"c","case_study","Lenvatinib-FLT1-Melanoma","TriMoGCL",54.3705035971,4,"TriMoGCL","HANAMI",0.0101861403208684,"*",40.0207165776676,68.720290616577,NA,"Sample SD across ten seeds",14.3497870194547,10
"c","case_study","Lenvatinib-FLT1-Melanoma","HANAMI",41.0136176773,5,"TriMoGCL","HANAMI",0.0101861403208684,"*",23.4962101910031,58.5310251635704,NA,"Sample SD across ten seeds",17.5174074862837,10
"d","case_study","Pirfenidone-TNF-Hypersensitivity","RF",47.9304770469,1,"RF","HANAMI",0.026368750391558,"*",23.8141379868268,72.0468161070409,NA,"Sample SD across ten seeds",24.116339060107,10
"d","case_study","Pirfenidone-TNF-Hypersensitivity","TriNet",56.3788968825,2,"RF","HANAMI",0.026368750391558,"*",37.6323546250526,75.1254391399354,NA,"Sample SD across ten seeds",18.7465422574414,10
"d","case_study","Pirfenidone-TNF-Hypersensitivity","N2V-MLP",49.9496831107,3,"RF","HANAMI",0.026368750391558,"*",24.1947884712398,75.7045777500689,NA,"Sample SD across ten seeds",25.7548946394145,10
"d","case_study","Pirfenidone-TNF-Hypersensitivity","TriMoGCL",54.2279033916,4,"RF","HANAMI",0.026368750391558,"*",33.756450164344,74.6993566188009,NA,"Sample SD across ten seeds",20.4714532272285,10
"d","case_study","Pirfenidone-TNF-Hypersensitivity","HANAMI",30.1021325797,5,"RF","HANAMI",0.026368750391558,"*",0.823063090230992,59.3812020690701,NA,"Sample SD across ten seeds",29.2790694894196,10
"e","case_study","Enalapril-ACE-Coronary Artery Disease","RF",38.9000942103,1,"RF","HANAMI",0.0254077860812336,"*",19.8172243659953,57.9829640546967,NA,"Sample SD across ten seeds",19.0828698443507,10
"e","case_study","Enalapril-ACE-Coronary Artery Disease","TriNet",47.053785543,2,"RF","HANAMI",0.0254077860812336,"*",27.8693134733252,66.2382576126631,NA,"Sample SD across ten seeds",19.184472069669,10
"e","case_study","Enalapril-ACE-Coronary Artery Disease","N2V-MLP",44.4689962316,3,"RF","HANAMI",0.0254077860812336,"*",24.505618187715,64.4323742754573,NA,"Sample SD across ten seeds",19.9633780438712,10
"e","case_study","Enalapril-ACE-Coronary Artery Disease","TriMoGCL",48.0395683453,4,"RF","HANAMI",0.0254077860812336,"*",29.3746006889882,66.7045360016593,NA,"Sample SD across ten seeds",18.6649676563355,10
"e","case_study","Enalapril-ACE-Coronary Artery Disease","HANAMI",25.1916324084,5,"RF","HANAMI",0.0254077860812336,"*",11.9821608038026,38.4011040129155,NA,"Sample SD across ten seeds",13.2094716045565,10
"f","case_study","Roflumilast-PDE4D-Diabetes Mellitus","RF",47.0876156218,1,"RF","HANAMI",0.0345670177312038,"*",23.1499045647571,71.0253266788194,NA,"Sample SD across ten seeds",23.9377110570312,10
"f","case_study","Roflumilast-PDE4D-Diabetes Mellitus","TriNet",52.383521754,2,"RF","HANAMI",0.0345670177312038,"*",22.5994517240574,82.1675917839933,NA,"Sample SD across ten seeds",29.7840700299679,10
"f","case_study","Roflumilast-PDE4D-Diabetes Mellitus","N2V-MLP",57.380952381,3,"RF","HANAMI",0.0345670177312038,"*",33.5889714119201,81.1729333499847,NA,"Sample SD across ten seeds",23.7919809690323,10
"f","case_study","Roflumilast-PDE4D-Diabetes Mellitus","TriMoGCL",49.7147995889,4,"RF","HANAMI",0.0345670177312038,"*",33.0980659531156,66.331533224685,NA,"Sample SD across ten seeds",16.6167336357847,10
"f","case_study","Roflumilast-PDE4D-Diabetes Mellitus","HANAMI",33.9356372045,5,"RF","HANAMI",0.0345670177312038,"*",16.882074090393,50.9892003186512,NA,"Sample SD across ten seeds",17.0535631141291,10
"g","case_study","Scopolamine-CHRM2-Bipolar Disorder","RF",37.3056911614,1,"TriMoGCL","HANAMI",0.0253991974414998,"*",8.92494724114917,65.6864350815641,NA,"Sample SD across ten seeds",28.3807439202075,10
"g","case_study","Scopolamine-CHRM2-Bipolar Disorder","TriNet",34.2940647482,2,"TriMoGCL","HANAMI",0.0253991974414998,"*",21.6978024048873,46.8903270915155,NA,"Sample SD across ten seeds",12.5962623433141,10
"g","case_study","Scopolamine-CHRM2-Bipolar Disorder","N2V-MLP",32.0041109969,3,"TriMoGCL","HANAMI",0.0253991974414998,"*",18.2365499217309,45.7716720721026,NA,"Sample SD across ten seeds",13.7675610751859,10
"g","case_study","Scopolamine-CHRM2-Bipolar Disorder","TriMoGCL",16.4082305584,4,"TriMoGCL","HANAMI",0.0253991974414998,"*",3.99877354521327,28.8176875716076,NA,"Sample SD across ten seeds",12.4094570131971,10
"g","case_study","Scopolamine-CHRM2-Bipolar Disorder","HANAMI",8.4453151764,5,"TriMoGCL","HANAMI",0.0253991974414998,"*",1.61577481144055,15.27485554142,NA,"Sample SD across ten seeds",6.82954036498973,10
